Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Blind Book Swap Party Kit Printable, Blind Date with a Book Tags",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/blind-book-swap-party-kit-printable-blind-date-wit-3920.png,Club Printables + Planners,,Blind Book Swap Party Kit Printable. Blind Date with a Book Tags. Book Exchange Tickets Ballots Host Guide. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4569013920/,2026-10-22T16:00:00,"blind book swap party kit printable, blind date with a book tags, book exchange tickets ballots host guide, book club game instant download"
"Book Club Discussion Cards, 60 Printable Questions for Any Book, Book Club Kit Host Guide",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/book-club-discussion-cards-60-printable-questions-4744.png,Funny Book Lover Shirts 📚,,Book Club Discussion Cards. 60 Printable Questions for Any Book. Book Club Kit Host Guide. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568054744/,2026-10-23T00:30:00,"book club discussion cards, 60 printable questions for any book, book club kit host guide, reading group game, bookish gift instant download"
"Bunco Night Kit Printable, Bunco Score Sheets Tally Cards Table Cards",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/bunco-night-kit-printable-bunco-score-sheets-tally-3726.png,Club Printables + Planners,,Bunco Night Kit Printable. Bunco Score Sheets Tally Cards Table Cards. Bunco Party Host Guide Prize Tracker. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568353726/,2026-10-23T16:00:00,"bunco night kit printable, bunco score sheets tally cards table cards, bunco party host guide prize tracker, game night instant download"
"Charcuterie Night Kit Printable, Board Party Host Guide, 24 Theme Night Ideas",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/charcuterie-night-kit-printable-board-party-host-g-6586.png,Club Printables + Planners,,Charcuterie Night Kit Printable. Board Party Host Guide. 24 Theme Night Ideas. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568056586/,2026-10-24T00:30:00,"charcuterie night kit printable, board party host guide, 24 theme night ideas, grazing board sign up sheet, girls night instant download"
Christmas Cookie Exchange Kit Printable,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/christmas-cookie-exchange-kit-printable-cookie-swa-4237.png,Club Printables + Planners,,Christmas Cookie Exchange Kit Printable. Cookie Swap Party Invitation Sign Up Recipe Cards Voting Ballots. Host Guide. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568034237/,2026-10-24T16:00:00,"christmas cookie exchange kit printable, cookie swap party invitation sign up recipe cards voting ballots, host guide, instant download"
"Conversation Cards Bundle, 360 Printable Questions",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/conversation-cards-bundle-360-printable-questions-5949.png,Club Printables + Planners,,Conversation Cards Bundle. 360 Printable Questions. 6 Decks Dinner Party Girls Night Date Night Book Club Road Trip. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568045949/,2026-10-25T00:30:00,"conversation cards bundle, 360 printable questions, 6 decks dinner party girls night date night book club road trip, pdf instant download"
"Date Night Conversation Cards, 60 Printable Couples Questions, Valentines Day Game",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/date-night-conversation-cards-60-printable-couples-5747.png,Club Printables + Planners,,Date Night Conversation Cards. 60 Printable Couples Questions. Valentines Day Game. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568035747/,2026-10-25T16:00:00,"date night conversation cards, 60 printable couples questions, valentines day game, anniversary gift for him her, printable instant download"
"Dinner Party Conversation Cards, 60 Printable Question Cards, Supper Club Icebreaker Game",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/dinner-party-conversation-cards-60-printable-quest-4760.png,Club Printables + Planners,,Dinner Party Conversation Cards. 60 Printable Question Cards. Supper Club Icebreaker Game. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4562454760/,2026-10-26T00:30:00,"dinner party conversation cards, 60 printable question cards, supper club icebreaker game, girls night table talk game, instant download"
"Emotional Support Charcuterie Shirt, Funny Martini Tee, Retro Cocktail Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/emotional-support-charcuterie-shirt-funny-martini-9760.png,Funny Cocktail + Happy Hour Shirts 🍸,,"Emotional Support Charcuterie Shirt. Funny Martini Tee. Retro Cocktail Shirt. Soft Comfort Colors tee, made to order. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.",https://www.etsy.com/listing/4562459760/,2026-10-26T16:00:00,"emotional support charcuterie shirt, funny martini tee, retro cocktail shirt, charcuterie board lover gift, happy hour girl dinner humor"
"Fluent in Fiction Shirt, Preppy Stripe Bookish Tee, Cute Book Lover Gift, Reading Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/fluent-in-fiction-shirt-preppy-stripe-bookish-tee-6747.png,Funny Book Lover Shirts 📚,,"Fluent in Fiction Shirt. Preppy Stripe Bookish Tee. Cute Book Lover Gift. Soft Comfort Colors tee, made to order. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.",https://www.etsy.com/listing/4561816747/,2026-10-27T00:30:00,"fluent in fiction shirt, preppy stripe bookish tee, cute book lover gift, reading shirt, book club tee"
"Girls Night In Conversation Cards, 60 Printable Question Cards, Girls Night Game",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/girls-night-in-conversation-cards-60-printable-que-9145.png,Club Printables + Planners,,Girls Night In Conversation Cards. 60 Printable Question Cards. Girls Night Game. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568039145/,2026-10-27T16:00:00,"girls night in conversation cards, 60 printable question cards, girls night game, bachelorette party game, wine night game instant download"
"Happy Hour Club Kit Printable, Cocktail Party Host Guide, 24 Theme Night Ideas",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/happy-hour-club-kit-printable-cocktail-party-host-6086.png,Club Printables + Planners,,Happy Hour Club Kit Printable. Cocktail Party Host Guide. 24 Theme Night Ideas. Instant printable download. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.,https://www.etsy.com/listing/4568076086/,2026-10-28T00:30:00,"happy hour club kit printable, cocktail party host guide, 24 theme night ideas, cocktail tasting scorecards, girls night in instant download"
"Here for the Spirits Shirt, Funny Christmas Martini Tee, Cute Ghost Cocktail Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/here-for-the-spirits-shirt-funny-christmas-martini-7737.png,Funny Cocktail + Happy Hour Shirts 🍸,,"Here for the Spirits Shirt. Funny Christmas Martini Tee. Cute Ghost Cocktail Gift. Soft Comfort Colors tee, made to order. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.",https://www.etsy.com/listing/4562407737/,2026-10-28T16:00:00,"here for the spirits shirt, funny christmas martini tee, cute ghost cocktail gift, holiday party shirt for her, comfort colors tee"
"Here for the Spirits Shirt, Funny Halloween Martini Tee, Cute Ghost Cocktail Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/here-for-the-spirits-shirt-funny-halloween-martini-5840.png,Funny Cocktail + Happy Hour Shirts 🍸,,"Here for the Spirits Shirt. Funny Halloween Martini Tee. Cute Ghost Cocktail Gift. Soft Comfort Colors tee, made to order. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.",https://www.etsy.com/listing/4562435840/,2026-10-29T00:30:00,"here for the spirits shirt, funny halloween martini tee, cute ghost cocktail gift, spooky season shirt for her, comfort colors tee"
"I Buy Books Faster Than I Read Them Shirt, Funny Book Lover Tee, Bookish Reading Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/auto/i-buy-books-faster-than-i-read-them-shirt-funny-bo-9701.png,Funny Book Lover Shirts 📚,,"I Buy Books Faster Than I Read Them Shirt. Funny Book Lover Tee. Bookish Reading Shirt. Soft Comfort Colors tee, made to order. From The Local Chapter - club gear and kits for people who show up in person. Shop it on Etsy.",https://www.etsy.com/listing/4561819701/,2026-10-29T16:00:00,"i buy books faster than i read them shirt, funny book lover tee, bookish reading shirt, reader gift, comfort colors book shirt"
