Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Spooky Little Christmas Cute Ghost Tee,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/02_Spooky-Little-Christmas.png,Spooky Christmas Shirts 👻🎄,,Have yourself a spooky little Christmas 👻🎄 Cute ghost decorating the tree — Halloween-meets-Christmas crossover shirt. #spookychristmas #cuteghost #creepmas #christmasshirt,https://www.etsy.com/listing/4558797327,2026-09-24T19:30:00,"spookychristmas, cuteghost, creepmas, christmasshirt"
Sleigh Ghoul Sleigh Funny Ghost Christmas Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/03_Sleigh-Ghoul-Sleigh.png,Spooky Christmas Shirts 👻🎄,,"Sleigh, ghoul, sleigh 💅👻 The it-girl ghost of the holidays with her Stanley + crossbody. Spooky Christmas crossover tee. #spookychristmas #ghostshirt #thatgirl #christmasgifts",https://www.etsy.com/listing/4558798629,2026-09-25T00:00:00,"spookychristmas, ghostshirt, thatgirl, christmasgifts"
Ho Ho Boo Cute Ghost Santa Christmas Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/04_Ho-Ho-Boo.png,Spooky Christmas Shirts 👻🎄,,Ho ho ho... BOO! 🎅👻 A jolly little Santa-ghost — Halloween + Christmas in one cute tee. #spookychristmas #ghostsanta #creepmas #christmasshirt,https://www.etsy.com/listing/4558834162,2026-09-25T03:30:00,"spookychristmas, ghostsanta, creepmas, christmasshirt"
Season's Screamings Funny Christmas Ghost Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/05_Seasons-Screamings.png,Spooky Christmas Shirts 👻🎄,,Season's screamings! 😱🎄 The frazzled ghost tangled in lights = peak holiday overwhelm. Funny spooky Christmas crossover tee. #spookychristmas #creepmas #christmashumor #ghostshirt,https://www.etsy.com/listing/4558825418,2026-09-25T14:00:00,"spookychristmas, creepmas, christmashumor, ghostshirt"
In My Spooky Christmas Era Cute Ghost Tee,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/06_In-My-Spooky-Christmas-Era.png,Spooky Christmas Shirts 👻🎄,,In my spooky Christmas era 👻🕶️ Confident ghost with her iced holiday latte. Halloween x Christmas crossover shirt. #spookychristmas #inmyera #cuteghost #christmasgifts,https://www.etsy.com/listing/4558818525,2026-09-25T19:30:00,"spookychristmas, inmyera, cuteghost, christmasgifts"
Home for the Howlidays Cute Ghost Christmas Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/07_Home-for-the-Howlidays.png,Spooky Christmas Shirts 👻🎄,,Home for the howlidays 🧳👻 Chic little traveler ghost — spooky + festive. Cute Christmas crossover tee. #spookychristmas #creepmas #howlidays #christmasshirt,https://www.etsy.com/listing/4558842214,2026-09-26T00:00:00,"spookychristmas, creepmas, howlidays, christmasshirt"
Hot Ghoul Winter Cute Ghost Christmas Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/08_Hot-Ghoul-Winter.png,Spooky Christmas Shirts 👻🎄,,Hot ghoul winter 🔥👻❄️ The cozy-chic ghost with her cocoa — the winter answer to hot girl summer. Spooky Christmas crossover. #spookychristmas #hotghoulwinter #cuteghost #christmasgifts,https://www.etsy.com/listing/4558843549,2026-09-26T03:30:00,"spookychristmas, hotghoulwinter, cuteghost, christmasgifts"
Spooky and Bright Cute Ghost Christmas Lights Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/09_Spooky-and-Bright.png,Spooky Christmas Shirts 👻🎄,,Spooky and bright ✨👻 A cute ghost all tangled in twinkle lights. Halloween-meets-Christmas crossover tee. #spookychristmas #creepmas #christmaslights #ghostshirt,https://www.etsy.com/listing/4558819601,2026-09-26T14:00:00,"spookychristmas, creepmas, christmaslights, ghostshirt"
Jingle Ghouls Cute Ghost Squad Christmas Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/10_Jingle-Ghouls.png,Spooky Christmas Shirts 👻🎄,,Jingle ghouls! 👯👻 A squad of glam it-girl ghosts with their Stanleys + lattes — the friend-group starter pack. Spooky Christmas crossover. #spookychristmas #ghostshirt #girlgang #christmasgifts,https://www.etsy.com/listing/4558793943,2026-09-26T19:30:00,"spookychristmas, ghostshirt, girlgang, christmasgifts"
Ghoulin' Around the Christmas Tree Cute Ghost Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/11_Ghoulin-Around-the-Christmas-Tree.png,Spooky Christmas Shirts 👻🎄,,Ghoulin' around the Christmas tree 🎄🕺 A little trio of ghosts throwing a dance party. Funny spooky Christmas crossover tee. #spookychristmas #creepmas #cuteghost #christmasshirt,https://www.etsy.com/listing/4558843948,2026-09-27T00:00:00,"spookychristmas, creepmas, cuteghost, christmasshirt"
