Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Boo-ndocking, Funny Halloween Camping Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-boondocking.png,Spooky Season,,"Boo-ndocking: off-grid camping, with a little extra company. A cute but cool Halloween camp badge for the van lifer and dispersed camper who likes their sites remote and slightly haunted. Comfort Colors garment-dyed tee, made to order. Spooky season camping gift for him or her. No Signal Supply Co. — Outfitters for the Unreachable.",https://www.etsy.com/listing/4554136933,2026-09-24T17:00:00,
"Ghosted by Choice, Funny Off Grid Halloween Tee",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-ghosted.png,Spooky Season,,"Ghosted, by choice. Off grid, out of range, and haunting somewhere with no bars in sight. A cute ghost Halloween tee for the introvert who disappears on purpose and calls it a feature. Comfort Colors garment-dyed cotton, made to order. Funny Halloween gift for the person who ghosts the group chat to go camp.",https://www.etsy.com/listing/4559713236,2026-09-25T17:00:00,
"Spirits in the Pines, Moody Halloween Camping Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-spirits.png,Spooky Season,,"Spirits in the pines. The woods get a little more crowded after dark. A moody cute ghost Halloween badge for the camper and hiker who loves the forest at its eeriest. Comfort Colors tee, made to order. Halloween gift for the night hiker and campfire ghost story teller.",https://www.etsy.com/listing/4559689781,2026-09-26T17:00:00,
"Sasquatch Season, Funny Bigfoot Camping Tee",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-sasquatch.png,Spooky Season,,"Sasquatch season is officially open. A vintage bigfoot badge for the camper, hiker and cryptid believer who is pretty sure something is out there past the treeline. No proof, no problem. Comfort Colors garment-dyed tee, made to order. Funny fall gift for the bigfoot believer.",https://www.etsy.com/listing/4554122611,2026-09-27T17:00:00,
"Gone Ghost, Funny Campfire Halloween Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-gone-ghost.png,Spooky Season,,"Gone ghost. Slipped off to camp, left no forwarding address, haunting a fire ring somewhere quiet. A cute campfire ghost Halloween tee for the one who vanishes into the woods every fall. Comfort Colors tee, made to order.",https://www.etsy.com/listing/4554129447,2026-09-28T17:00:00,
"The Pines Have Eyes, Creepy Camping Halloween Tee",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-hall-pines-eyes.png,Spooky Season,,"The pines have eyes, and they are watching you set up camp. A fun spooky Halloween badge for the night camper who swears something blinked back from the treeline. Comfort Colors garment-dyed tee, made to order. Halloween gift for the woods wanderer.",https://www.etsy.com/listing/4559690723,2026-09-29T17:00:00,
"Ham Shack Desk Mat, Morse and Q Code Reference",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mat-ham.png,Ham Radio & Off-Grid Comms,,"Every ham shack has the same pile of paper: a phonetic chart taped to the wall, Q codes on an index card, a morse cheat sheet curling at the corners. This puts all of it under the keyboard. Full NATO phonetics, complete morse, 15 Q codes in plain English, RST reports, prosigns and grid squares. 16 x 32 in neoprene desk mat, made to order. Gift for the radio operator who has every piece of gear.",https://www.etsy.com/listing/4560277880,2026-09-30T17:00:00,
"Fishing Desk Mat, Knots and Rigs Reference Chart",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mat-fishing.png,Fishing & Angler Life,,"Which knot, which rig, and what temperature each fish turns on. A vintage field manual desk mat with 11 fishing knots listed by job, 8 rigs explained, water temps for bass, trout, walleye, crappie and catfish, hook sizing, line types, and how to read the day. 16 x 32 in neoprene. Gift for the angler who is impossible to shop for.",https://www.etsy.com/listing/4560293196,2026-10-01T17:00:00,
"Camping Desk Mat, Knots Fire and Weather Reference",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mat-camp.png,Camping & Base Camp,,"The six things every camper means to memorize and never does. 11 camp knots by job, fire building and four fire lays, reading the sky, finding north by shadow stick or by Polaris, layering, campsite selection, and the seven Leave No Trace principles. A 16 x 32 in neoprene desk mat, made to order. Gift for the camper, backpacker or scout leader.",https://www.etsy.com/listing/4560285515,2026-10-02T17:00:00,
"Off Grid Radio Desk Mat, GMRS FRS CB Channel Chart",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mat-comms.png,Ham Radio & Off-Grid Comms,,"Every channel you can legally use without a ham license, in one place. All 22 FRS and GMRS channels with power limits, all 40 CB channels, MURS, license rules in plain English, on-air etiquette, and which radio you actually need. A 16 x 32 in neoprene desk mat for overlanders, preppers and camp crews. Made to order.",https://www.etsy.com/listing/4560290010,2026-10-03T17:00:00,
"Parks on the Air POTA Shirt, Ham Radio Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-pota.png,Ham Radio & Off-Grid Comms,,"Parks on the Air. Pack the radio, find the park, put it on the air. A vintage badge tee for the POTA activator who would rather operate from a picnic table than a desk. Comfort Colors garment-dyed cotton, made to order. Ham radio gift for him. 73.",https://www.etsy.com/listing/4553921689,2026-10-04T17:00:00,
