Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Ho Ho Boo Ghost Santa Tee, Funny Christmas Gift Idea",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/04_Ho-Ho-Boo.png,Christmas Gift Ideas 🎄,,Ho ho ho... BOO! 🎅👻 A jolly little Santa-ghost — Halloween + Christmas in one cute tee. #spookychristmas #ghostsanta #creepmas #christmasshirt,https://www.etsy.com/listing/4558834162,2026-10-16T03:30:00,"spookychristmas, ghostsanta, creepmas, christmasshirt"
"Home for the Howlidays Ghost Tee, Christmas Gift for Her",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/07_Home-for-the-Howlidays.png,Christmas Gift Ideas 🎄,,Home for the howlidays 🧳👻 Chic little traveler ghost — spooky + festive. Cute Christmas crossover tee. #spookychristmas #creepmas #howlidays #christmasshirt,https://www.etsy.com/listing/4558842214,2026-10-17T00:00:00,"spookychristmas, creepmas, howlidays, christmasshirt"
"Spooky and Bright Ghost Lights Tee, Christmas Gift Idea",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/09_Spooky-and-Bright.png,Christmas Gift Ideas 🎄,,Spooky and bright ✨👻 A cute ghost all tangled in twinkle lights. Halloween-meets-Christmas crossover tee. #spookychristmas #creepmas #christmaslights #ghostshirt,https://www.etsy.com/listing/4558819601,2026-10-17T14:00:00,"spookychristmas, creepmas, christmaslights, ghostshirt"
"Ghoulin Around the Christmas Tree Tee, Funny Holiday Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/11_Ghoulin-Around-the-Christmas-Tree.png,Christmas Gift Ideas 🎄,,Ghoulin' around the Christmas tree 🎄🕺 A little trio of ghosts throwing a dance party. Funny spooky Christmas crossover tee. #spookychristmas #creepmas #cuteghost #christmasshirt,https://www.etsy.com/listing/4558843948,2026-10-18T00:00:00,"spookychristmas, creepmas, cuteghost, christmasshirt"
"Jingle All the Way to the Back of the Pack, Runner Christmas Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/14_Jingle-All-the-Way-to-the-Back-of-the-Pack.png,Christmas Gift Ideas 🎄,,"Jingle all the way, to the back of the pack. Funny Christmas run club tee for the proudly slow. #runclub #christmasgifts #funnyrunning #backofthepack",https://www.etsy.com/listing/4558290776,2026-10-18T19:30:00,"runclub, christmasgifts, funnyrunning, backofthepack"
"Gossip Walks Winter Edition, Christmas Gift for Walking Besties",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/16_Gossip-Walks-Winter-Edition.png,Christmas Gift Ideas 🎄,,"Gossip walks, winter edition. Colder walks, same gossip. Funny walking club Christmas tee. #walkingclub #christmasgifts #gossipwalk #funnyshirt",https://www.etsy.com/listing/4558286267,2026-10-19T03:30:00,"walkingclub, christmasgifts, gossipwalk, funnyshirt"
"Boo-k Lover Tee, Cute Gift for Readers and Bookworms",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/20_Book-Lover.png,Funny Book Lover Shirts 📚,,Boo-k lover. The punny Halloween tee for readers who love spooky season as much as their TBR. #halloween #booklover #bookish #spookyseason,https://www.etsy.com/listing/4555470110,2026-10-20T03:30:00,"halloween, booklover, bookish, spookyseason"
"Haunted by My TBR Tee, Funny Gift for Book Lovers",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/21_Haunted-by-My-TBR.png,Funny Book Lover Shirts 📚,,Haunted by my TBR. Those unread books follow her everywhere. Funny Halloween gift for book lovers. #halloween #bookish #tbr #booklover,https://www.etsy.com/listing/4555799453,2026-10-20T14:00:00,"halloween, bookish, tbr, booklover"
"Pumpkin Spice and Plot Twists, Cozy Reader Gift Idea",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/22_Pumpkin-Spice-and-Plot-Twists.png,Funny Book Lover Shirts 📚,,Pumpkin spice and plot twists. Peak cozy fall reading energy. Cute fall book lover tee and gift. #pumpkinspice #booklover #fallvibes #bookish,https://www.etsy.com/listing/4555811590,2026-10-20T19:30:00,"pumpkinspice, booklover, fallvibes, bookish"
"Spooky Season Reading Club Tee, Book Club Gift Idea",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/23_Spooky-Season-Reading-Club.png,Funny Book Lover Shirts 📚,,Spooky season reading club. For the reader who only wants thrillers in October. Cute Halloween bookish tee. #halloween #spookyseason #booklover #bookish,https://www.etsy.com/listing/4555460779,2026-10-21T00:00:00,"halloween, spookyseason, booklover, bookish"
"Boo Crew Run Club Tee, Funny Gift for Runners",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/24_Boo-Crew-Run-Club.png,Funny Running Shirts 🏃,,Boo crew run club. Matching Halloween tee for the run group. Funny spooky season running gift. #halloween #runclub #funnyrunning #spookyseason,https://www.etsy.com/listing/4555970539,2026-10-21T03:30:00,"halloween, runclub, funnyrunning, spookyseason"
"Running at Zombie Pace, Funny Slow Runner Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/local-chapter/25_Running-at-Zombie-Pace.png,Funny Running Shirts 🏃,,"Running at zombie pace. Slow, shuffling, technically still running. Funny Halloween run club tee. #halloween #runclub #funnyrunning #slowrunner",https://www.etsy.com/listing/4555967951,2026-10-21T14:00:00,"halloween, runclub, funnyrunning, slowrunner"
